,Gender,Customer_Type,Age,Type_of_Travel,Class,Flight_Distance,Inflight_wifi_service,Departure_Arrival_time_convenient,Ease_of_Online_booking,Gate_location,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,On_board_service,Leg_room_service,Baggage_handling,Checkin_service,Inflight_service,Cleanliness,Departure_Delay_in_Minutes,Arrival_Delay_in_Minutes
0,Female,disloyal Customer,26,Business travel,Business,762,0,0,0,1,4,0,4.0,4,4,2,4,3.0,4,4,0,0.0
1,Male,Loyal Customer,37,Business travel,Eco,547,4,1,1,1,4,4,4.0,4,1,5,4,2.0,3,4,30,32.5
2,Male,Loyal Customer,28,Personal Travel,Eco,972,1,5,1,1,2,1,2.0,2,3,3,4,4.0,4,2,0,0.0
3,Female,disloyal Customer,41,Business travel,Business,602,5,5,5,5,2,5,2.0,2,3,3,5,3.0,5,2,30,32.5
4,Female,Loyal Customer,14,Personal Travel,Eco,337,4,5,5,2,2,5,2.0,2,4,4,4,4.0,5,2,0,0.0
5,Male,disloyal Customer,26,Business travel,Business,1045,3,3,3,3,1,3,1.0,1,5,3,4,3.0,4,1,0,0.0
6,Female,Loyal Customer,31,Personal Travel,Eco,1416,2,3,2,4,5,2,5.0,5,3,4,4,4.0,5,5,0,0.0
7,Male,Loyal Customer,12,Personal Travel,Eco,368,2,5,2,3,1,2,1.0,1,3,3,4,2.0,3,1,30,32.5
8,Female,disloyal Customer,23,Business travel,Eco,632,3,0,3,2,2,3,2.0,2,3,3,5,5.0,5,2,0,1.0
9,Male,Loyal Customer,29,Personal Travel,Eco,255,2,4,2,4,4,2,4.0,4,3,3,3,2.0,4,4,0,0.0
10,Female,Loyal Customer,42,Business travel,Eco,581,2,4,4,4,3,4,4.0,2,2,2,2,2.0,2,2,0,0.0
11,Male,Loyal Customer,60,Business travel,Business,3710,3,3,3,3,5,5,4.0,5,5,5,5,4.0,5,5,30,32.5
12,Female,disloyal Customer,15,Personal Travel,Eco,1235,3,3,3,4,5,3,5.0,5,1,4,3,1.5,3,5,0,0.0
13,Male,Loyal Customer,28,Business travel,Business,2746,2,5,5,5,2,2,2.0,2,3,3,4,3.0,4,2,0,0.0
14,Female,Loyal Customer,38,Business travel,Business,2432,4,5,5,5,4,3,3.0,1,1,1,4,2.0,1,1,0,32.5
15,Male,Loyal Customer,52,Business travel,Eco,500,1,2,2,2,1,1,1.0,1,4,5,3,1.5,4,1,16,13.0
16,Female,Loyal Customer,40,Personal Travel,Eco Plus,1416,2,5,2,1,4,2,4.0,4,2,3,4,2.0,4,4,0,0.0
17,Female,Loyal Customer,52,Business travel,Business,331,4,2,4,4,4,5,5.0,5,5,5,5,3.0,5,4,0,0.0
18,Male,Loyal Customer,50,Business travel,Business,2297,5,5,5,5,2,4,5.0,4,4,5,4,3.0,4,3,2,4.0
19,Female,Loyal Customer,70,Personal Travel,Eco,606,4,3,4,2,2,4,5.0,4,4,4,4,5.0,4,5,0,0.0
20,Female,Loyal Customer,37,Personal Travel,Eco,649,3,1,3,4,5,3,5.0,5,1,3,4,2.0,3,5,0,2.0
21,Male,Loyal Customer,41,Business travel,Business,1504,2,2,2,2,4,5,5.0,5,5,5,5,5.0,5,3,0,0.0
22,Male,Loyal Customer,35,Personal Travel,Eco Plus,922,2,4,2,3,1,2,1.0,1,5,5,5,5.0,5,1,27,32.5
23,Male,Loyal Customer,59,Business travel,Eco,542,2,3,3,3,2,2,2.0,2,1,5,1,1.5,5,2,15,9.0
24,Female,disloyal Customer,23,Business travel,Eco,259,1,2,1,3,1,1,1.0,1,4,4,3,1.5,3,1,30,27.0
25,Female,Loyal Customer,56,Business travel,Business,407,2,2,2,2,4,4,5.0,5,5,5,5,3.0,5,5,0,0.0
26,Female,Loyal Customer,17,Personal Travel,Eco,328,4,5,4,4,5,4,5.0,5,1,5,2,5.0,4,5,0,0.0
27,Male,Loyal Customer,64,Personal Travel,Eco,449,3,2,3,4,4,3,3.0,4,1,1,4,1.5,3,4,6,32.5
28,Female,Loyal Customer,33,Business travel,Business,2970,3,2,2,2,2,3,3.0,3,3,3,3,2.0,3,1,10,18.0
29,Female,disloyal Customer,20,Business travel,Eco,347,3,4,3,3,2,3,2.0,2,4,3,3,2.0,1,2,0,0.0
30,Male,Loyal Customer,53,Business travel,Eco,1185,5,4,4,4,5,5,5.0,5,2,4,5,4.0,1,5,30,32.5
31,Male,disloyal Customer,20,Business travel,Eco,240,0,5,0,4,3,0,3.0,3,4,2,5,3.0,4,3,8,5.0
32,Female,Loyal Customer,53,Business travel,Business,666,1,1,1,1,4,4,5.0,2,2,2,2,3.0,2,5,0,0.0
33,Male,disloyal Customer,46,Business travel,Eco,1485,3,3,3,5,5,3,5.0,5,1,2,1,5.0,3,5,0,6.0
34,Female,Loyal Customer,55,Business travel,Eco Plus,783,5,1,1,1,3,1,3.0,5,5,5,5,5.0,5,3,0,5.0
35,Male,Loyal Customer,56,Business travel,Business,2521,5,5,5,5,4,3,4.0,5,5,5,5,3.0,5,4,0,0.0
36,Male,Loyal Customer,18,Personal Travel,Eco,488,2,0,2,3,1,2,1.0,1,4,3,4,4.0,5,1,2,0.0
37,Female,Loyal Customer,39,Business travel,Business,432,1,1,1,1,1,1,5.0,2,2,2,2,4.0,2,1,0,0.0
38,Male,Loyal Customer,15,Business travel,Eco Plus,522,2,4,4,4,2,2,2.0,2,2,2,4,3.0,3,2,30,32.5
39,Male,Loyal Customer,51,Business travel,Business,1325,5,1,5,5,2,5,4.0,5,5,5,5,3.0,5,4,0,0.0
40,Female,Loyal Customer,55,Business travel,Business,1640,1,1,1,1,1,2,5.0,5,5,5,5,4.0,5,5,0,0.0
41,Female,Loyal Customer,31,Personal Travel,Eco,153,3,4,3,1,3,1,1.0,5,5,4,4,1.5,3,1,30,32.5
42,Male,Loyal Customer,36,Business travel,Business,2880,2,2,2,2,3,4,3.0,2,2,2,2,4.0,2,2,0,0.0
43,Male,Loyal Customer,55,Business travel,Business,3534,5,5,5,5,3,5,5.0,5,5,5,5,3.0,5,4,0,0.0
44,Male,Loyal Customer,63,Business travel,Eco,1501,2,5,5,5,2,2,2.0,2,1,5,2,2.0,3,2,0,0.0
45,Female,disloyal Customer,44,Business travel,Business,258,3,3,3,4,3,3,3.0,3,5,5,5,5.0,5,3,7,4.0
